year,age,sex,n
2014,58,male,2025009
2014,59,female,2146915
2014,59,male,2004597
2014,60,female,2069987
2014,60,male,1911768
2014,61,female,1996062
2014,61,male,1834639
2014,62,female,1921176
2014,62,male,1760990
2014,63,female,1869948
2014,63,male,1699108
2014,64,female,1826555
2014,64,male,1659437
2014,65,female,1775407
2014,65,male,1605418
2014,66,female,1757180
2014,66,male,1587614
2014,67,female,1831515
2014,67,male,1652499
2014,68,female,1360575
2014,68,male,1210525
2014,69,female,1347377
2014,69,male,1186374
2014,70,female,1316883
2014,70,male,1147960
2014,71,female,1350697
2014,71,male,1168810
2014,72,female,1183862
2014,72,male,1010349
2014,73,female,1089587
2014,73,male,912547
2014,74,female,1032952
2014,74,male,856949
2014,75,female,971061
2014,75,male,802888
2014,76,female,936179
2014,76,male,758003
2014,77,female,867393
2014,77,male,689414
2014,78,female,832304
2014,78,male,648875
2014,79,female,803564
2014,79,male,610462
2014,80,female,723838
2014,80,male,539533
2014,81,female,704762
2014,81,male,510763
2014,82,female,676473
2014,82,male,476692
2014,83,female,647777
2014,83,male,442019
2014,84,female,624806
2014,84,male,410825
2015,0,female,1946457
2015,0,male,2037837
2015,1,female,1939511
2015,1,male,2033678
2015,2,female,1938627
2015,2,male,2026909
2015,3,female,1942394
2015,3,male,2030982
2015,4,female,1963407
2015,4,male,2055928
2015,5,female,1966724
2015,5,male,2049934
2015,6,female,1967652
2015,6,male,2049080
2015,7,female,2030063
2015,7,male,2115766
2015,8,female,2037620
2015,8,male,2127788
2015,9,female,2020588
2015,9,male,2110729
2015,10,female,2016496
2015,10,male,2102773
2015,11,female,2022420
2015,11,male,2105602
2015,12,female,2008334
2015,12,male,2089598
2015,13,female,1999920
2015,13,male,2081376
2015,14,female,2048407
2015,14,male,2135424
2015,15,female,2076664
2015,15,male,2172971
2015,16,female,2045084
2015,16,male,2139289
2015,17,female,2048499
2015,17,male,2143845
2015,18,female,2059886
2015,18,male,2153257
2015,19,female,2074337
2015,19,male,2180602
2015,20,female,2117635
2015,20,male,2235851
2015,21,female,2160567
2015,21,male,2284507
2015,22,female,2191197
2015,22,male,2326117
2015,23,female,2257954
2015,23,male,2383707
2015,24,female,2313770
2015,24,male,2415482
2015,25,female,2316216
2015,25,male,2406023
2015,26,female,2227318
2015,26,male,2309039
2015,27,female,2179873
2015,27,male,2252182
2015,28,female,2145617
2015,28,male,2212551
2015,29,female,2157921
2015,29,male,2219428
2015,30,female,2182984
2015,30,male,2229642
2015,31,female,2123438
2015,31,male,2151514
2015,32,female,2159808
2015,32,male,2179910
2015,33,female,2163163
2015,33,male,2173981
2015,34,female,2143459
2015,34,male,2146424
2015,35,female,2177191
2015,35,male,2196753
2015,36,female,2051976
2015,36,male,2050541
2015,37,female,2014362
2015,37,male,2007403
2015,38,female,1999954
2015,38,male,1980685
2015,39,female,1941061
2015,39,male,1923457
2015,40,female,1997123
2015,40,male,1986244
2015,41,female,1942588
2015,41,male,1916197
2015,42,female,1978448
2015,42,male,1938713
2015,43,female,2064678
2015,43,male,2028719
2015,44,female,2183820
2015,44,male,2143475
2015,45,female,2202659
2015,45,male,2178400
2015,46,female,2091674
2015,46,male,2060018
2015,47,female,2050435
2015,47,male,2014948
2015,48,female,2058730
2015,48,male,2010994
2015,49,female,2095999
2015,49,male,2048844
2015,50,female,2223846
2015,50,male,2169038
2015,51,female,2273283
2015,51,male,2198785
2015,52,female,2275473
2015,52,male,2191433
2015,53,female,2273224
2015,53,male,2182886
2015,54,female,2306446
2015,54,male,2202680
2015,55,female,2321763
2015,55,male,2224902
2015,56,female,2252334
2015,56,male,2139150
2015,57,female,2243111
2015,57,male,2120248
2015,58,female,2224634
2015,58,male,2088311
2015,59,female,2151228
2015,59,male,2005539
2015,60,female,2135887
2015,60,male,1984070
2015,61,female,2058363
2015,61,male,1890387
2015,62,female,1983789
2015,62,male,1812578
2015,63,female,1908207
2015,63,male,1738096
2015,64,female,1856159
2015,64,male,1675627
2015,65,female,1811657
2015,65,male,1635562
2015,66,female,1759503
2015,66,male,1580539
2015,67,female,1739723
2015,67,male,1561078
2015,68,female,1811638
2015,68,male,1623133
2015,69,female,1344328
2015,69,male,1186846
2015,70,female,1329479
2015,70,male,1161520
2015,71,female,1297637
2015,71,male,1121903
2015,72,female,1328967
2015,72,male,1139872
2015,73,female,1162639
2015,73,male,982902
2015,74,female,1067771
2015,74,male,885423
2015,75,female,1010050
2015,75,male,829010
2015,76,female,947088
2015,76,male,774181
2015,77,female,910382
2015,77,male,728222
2015,78,female,840688
2015,78,male,659423
2015,79,female,803689
2015,79,male,617698
2015,80,female,772791
2015,80,male,577997
2015,81,female,692903
2015,81,male,507688
2015,82,female,671262
2015,82,male,477523
2015,83,female,640257
2015,83,male,442029
2015,84,female,608680
2015,84,male,406272
2016,0,female,1933613
2016,0,male,2021764
2016,1,female,1956339
2016,1,male,2047678
2016,2,female,1948325
2016,2,male,2042666
2016,3,female,1946582
2016,3,male,2034744
2016,4,female,1949612
2016,4,male,2038254
2016,5,female,1970066
2016,5,male,2062721
2016,6,female,1973015
2016,6,male,2056429
2016,7,female,1974029
2016,7,male,2055671
2016,8,female,2036714
2016,8,male,2122254
2016,9,female,2044373
2016,9,male,2134232
2016,10,female,2027467
2016,10,male,2117158
2016,11,female,2023179
2016,11,male,2109432
2016,12,female,2028923
2016,12,male,2112430
2016,13,female,2015176
2016,13,male,2096710
2016,14,female,2007313
2016,14,male,2089414
2016,15,female,2056858
2016,15,male,2144753
2016,16,female,2086592
2016,16,male,2184078
2016,17,female,2057217
2016,17,male,2153031
2016,18,female,2063045
2016,18,male,2160245
2016,19,female,2074805
2016,19,male,2170760
2016,20,female,2088736
2016,20,male,2197828
2016,21,female,2133231
2016,21,male,2253183
2016,22,female,2178059
2016,22,male,2302536
2016,23,female,2209746
2016,23,male,2344031
2016,24,female,2276986
2016,24,male,2399677
2016,25,female,2332517
2016,25,male,2430677
2016,26,female,2334135
2016,26,male,2419961
2016,27,female,2244622
2016,27,male,2322801
2016,28,female,2195859
2016,28,male,2265271
2016,29,female,2160492
2016,29,male,2225093
2016,30,female,2171925
2016,30,male,2231452
2016,31,female,2194758
2016,31,male,2240172
2016,32,female,2133599
2016,32,male,2160786
2016,33,female,2169096
2016,33,male,2187596
2016,34,female,2171587
2016,34,male,2180528
2016,35,female,2150865
2016,35,male,2152316
2016,36,female,2183967
2016,36,male,2201058
2016,37,female,2058186
2016,37,male,2053905
2016,38,female,2020099
2016,38,male,2010506
2016,39,female,2005090
2016,39,male,1983297
2016,40,female,1945217
2016,40,male,1925676
2016,41,female,2000427
2016,41,male,1987407
2016,42,female,1945354
2016,42,male,1916498
2016,43,female,1980329
2016,43,male,1938208
2016,44,female,2065904
2016,44,male,2027424
2016,45,female,2184207
2016,45,male,2140344
2016,46,female,2202206
2016,46,male,2174282
2016,47,female,2090811
2016,47,male,2055816
2016,48,female,2048921
2016,48,male,2009855
2016,49,female,2056458
2016,49,male,2004734
2016,50,female,2092868
2016,50,male,2041063
2016,51,female,2219393
2016,51,male,2159311
2016,52,female,2267732
2016,52,male,2187753
2016,53,female,2269131
2016,53,male,2179004
2016,54,female,2266195
2016,54,male,2168979
2016,55,female,2298525
